project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
2985,FINANCIALLY COMPLETED,AD,1998-02-02,1998-02-12,,2000-06-30,  0.960 ,  0.931 ,  0.029 ,1
2986,FINANCIALLY COMPLETED,PP,1998-02-09,1998-06-22,1999-04-30,2003-03-30,  1.000 ,  0.954 ,  0.046 ,
2987,FINANCIALLY COMPLETED,AD,1998-02-09,1998-03-24,,2000-10-30,  0.400 ,  0.175 ,  0.225 ,1
2988,FINANCIALLY COMPLETED,AD,1998-02-12,1998-04-12,,2002-12-31,  0.950 ,  0.239 ,  0.711 ,1
2989,FINANCIALLY COMPLETED,AD,1998-02-19,1998-05-26,2000-03-31,2003-12-31,  0.950 ,  0.893 ,  0.057 ,1
2990,FINANCIALLY COMPLETED,AD,1998-02-23,1998-02-23,,1998-09-30,  0.150 ,  0.080 ,  0.070 ,
2991,FINANCIALLY COMPLETED,PP,1998-02-24,1998-02-24,,2000-09-30,  0.150 ,  0.142 ,  0.008 ,
2992,FINANCIALLY COMPLETED,AD,1998-03-06,1998-03-06,,1999-09-30,  0.065 ,  0.025 ,  0.040 ,
2993,FINANCIALLY COMPLETED,AD,1998-03-10,1998-03-10,,2000-07-31,  0.150 ,  0.013 ,  0.137 ,
2994,FINANCIALLY COMPLETED,AD,1998-03-10,1998-03-10,,1999-09-30,  0.130 ,  0.068 ,  0.062 ,
2995,FINANCIALLY COMPLETED,AD,1998-03-12,1998-05-04,,2000-12-31,  0.692 ,  0.688 ,  0.004 ,1
2996,FINANCIALLY COMPLETED,AD,1998-03-12,1998-05-04,,2000-12-31,  0.480 ,  0.477 ,  0.003 ,1
2997,FINANCIALLY COMPLETED,AD,1998-03-12,1998-05-04,,1999-12-31,  0.572 ,  0.454 ,  0.118 ,1
2998,FINANCIALLY COMPLETED,AD,1998-03-16,1998-04-29,,2000-08-31,  0.800 ,  0.789 ,  0.011 ,1
2999,FINANCIALLY COMPLETED,AD,1998-03-20,1998-05-14,,2000-09-30,  1.000 ,  0.786 ,  0.214 ,1
3000,FINANCIALLY COMPLETED,AD,1998-03-23,1998-03-27,1999-10-31,2002-12-31,  0.630 ,  0.455 ,  0.175 ,1
3001,FINANCIALLY COMPLETED,PP,1998-03-26,1998-08-06,2001-04-30,2002-09-30,  0.248 ,  0.244 ,  0.004 ,
3002,FINANCIALLY COMPLETED,AD,1998-03-26,1998-03-26,,1998-12-31,  0.165 ,  0.156 ,  0.009 ,
3003,FINANCIALLY COMPLETED,AD,1998-04-01,1998-04-01,,1999-03-31,  0.150 ,  0.138 ,  0.012 ,
3004,FINANCIALLY COMPLETED,AD,1998-04-03,1998-06-05,,2001-07-31,  1.000 ,  0.928 ,  0.072 ,1
3005,FINANCIALLY COMPLETED,PP,1998-04-14,1998-04-14,,1999-03-31,  0.150 ,  0.082 ,  0.068 ,
3006,FINANCIALLY COMPLETED,AD,1998-04-15,1998-05-06,,1999-06-30,  0.260 ,  0.255 ,  0.005 ,1
3007,FINANCIALLY COMPLETED,PP,1998-04-16,1998-04-16,,2001-10-31,  0.149 ,  0.148 ,  0.001 ,
3008,FINANCIALLY COMPLETED,AD,1998-04-17,1998-05-15,,2001-03-31,  0.900 ,  0.897 ,  0.003 ,1
3009,FINANCIALLY COMPLETED,PP,1998-04-20,1998-04-20,,1999-02-28,  0.150 ,  0.133 ,  0.017 ,
3010,FINANCIALLY COMPLETED,AD,1998-04-20,1998-04-20,,1999-04-30,  0.150 ,  0.126 ,  0.024 ,
3011,FINANCIALLY COMPLETED,AD,1998-05-05,1998-05-05,,1998-12-31,  0.115 ,  0.070 ,  0.045 ,
3012,FINANCIALLY COMPLETED,AD,1998-05-05,1998-05-05,,1998-06-30,  0.050 ,  0.028 ,  0.022 ,
3013,FINANCIALLY COMPLETED,AD,1998-05-05,1998-06-30,,2001-06-30,  0.605 ,  0.537 ,  0.068 ,1
3014,FINANCIALLY COMPLETED,AD,1998-05-07,1998-08-27,,2000-06-30,  0.530 ,  0.471 ,  0.059 ,1
3015,FINANCIALLY COMPLETED,AD,1998-05-07,1998-07-08,1998-09-30,2003-01-31,  0.995 ,  0.886 ,  0.109 ,1
3016,CANCELLED,PP,1998-05-07,,,1999-03-31,  0.900 ,  -   ,  0.900 ,
3017,FINANCIALLY COMPLETED,PP,1998-05-12,1998-05-26,,2000-08-31,  0.900 ,  0.827 ,  0.073 ,
3018,FINANCIALLY COMPLETED,PP,1998-05-13,1998-05-13,,2000-12-31,  0.150 ,  0.048 ,  0.102 ,
3019,FINANCIALLY COMPLETED,AD,1998-05-20,1998-07-22,,2001-12-31,  0.570 ,  0.115 ,  0.455 ,1
3020,FINANCIALLY COMPLETED,AD,1998-05-27,1998-05-27,,2000-10-31,  0.075 ,  0.044 ,  0.031 ,
3021,FINANCIALLY COMPLETED,PP,1998-05-27,1998-08-18,,2001-12-31,  0.975 ,  0.963 ,  0.012 ,
3022,FINANCIALLY COMPLETED,AD,1998-06-02,1998-06-23,,2000-09-15,  0.500 ,  0.495 ,  0.005 ,1
3023,FINANCIALLY COMPLETED,AD,1998-05-28,1998-07-20,,2002-12-31,  0.995 ,  0.509 ,  0.486 ,1
3024,FINANCIALLY COMPLETED,AD,1998-06-02,1998-08-05,2002-08-15,2002-08-15,  3.345 ,  3.286 ,  0.059 ,1
3025,FINANCIALLY COMPLETED,PP,1998-06-04,1998-06-22,,1999-10-31,  0.965 ,  0.953 ,  0.012 ,
3026,FINANCIALLY COMPLETED,AD,1998-06-04,1998-06-24,,2001-09-30,  1.694 ,  1.605 ,  0.088 ,1
3027,FINANCIALLY COMPLETED,AD,1998-06-08,1998-10-19,,2000-04-30,  0.938 ,  0.377 ,  0.561 ,1
3028,FINANCIALLY COMPLETED,AD,1998-06-09,1998-09-22,,2000-06-30,  0.500 ,  0.112 ,  0.388 ,1
3029,FINANCIALLY COMPLETED,AD,1998-06-10,1998-07-09,,1999-02-28,  0.450 ,  0.423 ,  0.027 ,1
3030,FINANCIALLY COMPLETED,PP,1998-06-11,1998-06-25,,2003-06-30,  1.500 ,  1.432 ,  0.068 ,
3031,FINANCIALLY COMPLETED,AD,1998-06-23,1998-10-26,,2000-06-30,  0.550 ,  0.320 ,  0.230 ,1
3032,FINANCIALLY COMPLETED,AD,1998-06-24,1998-06-24,,1999-12-31,  0.150 ,  0.098 ,  0.052 ,
3033,FINANCIALLY COMPLETED,PP,1998-06-24,1998-07-16,,2000-11-30,  0.570 ,  0.540 ,  0.030 ,
3034,FINANCIALLY COMPLETED,PP,1998-06-25,1998-07-03,,2000-10-31,  0.850 ,  0.825 ,  0.025 ,
